subject,state,study,mean_phage_load,sttdev_phage_load,mean_phage_genome_load,vOTU-000001_VLP,vOTU-000001_stool,vOTU-000002_VLP,vOTU-000002_stool,vOTU-000003_VLP,vOTU-000003_stool,vOTU-000004_VLP,vOTU-000004_stool,vOTU-000005_VLP,vOTU-000005_stool,vOTU-000007_VLP,vOTU-000007_stool,vOTU-000008_VLP,vOTU-000008_stool,vOTU-000015_VLP,vOTU-000015_stool,vOTU-000006_VLP,vOTU-000006_stool,vOTU-000009_VLP,vOTU-000009_stool,vOTU-000010_VLP,vOTU-000010_stool,vOTU-000018_VLP,vOTU-000018_stool,vOTU-000017_VLP,vOTU-000017_stool,vOTU-000014_VLP,vOTU-000014_stool,vOTU-000013_VLP,vOTU-000013_stool,vOTU-000016_VLP,vOTU-000016_stool,vOTU-000020_VLP,vOTU-000020_stool,vOTU-000132_VLP,vOTU-000132_stool,vOTU-000019_VLP,vOTU-000019_stool,vOTU-000035_VLP,vOTU-000035_stool,vOTU-000026_VLP,vOTU-000026_stool,vOTU-000039_VLP,vOTU-000039_stool,vOTU-000053_VLP,vOTU-000053_stool,vOTU-000067_VLP,vOTU-000067_stool,vOTU-000048_VLP,vOTU-000048_stool,vOTU-000081_VLP,vOTU-000081_stool,vOTU-000069_VLP,vOTU-000069_stool,vOTU-000044_VLP,vOTU-000044_stool,vOTU-000050_VLP,vOTU-000050_stool,vOTU-000115_VLP,vOTU-000115_stool,vOTU-000118_VLP,vOTU-000118_stool,vOTU-000049_VLP,vOTU-000049_stool,vOTU-000055_VLP,vOTU-000055_stool,vOTU-000155_VLP,vOTU-000155_stool,vOTU-000096_VLP,vOTU-000096_stool
shkoporov_2019_subject_916,adult,shkoporov_2019,870036099.2,780573566.4,2.51712E+11,0,0,0,0,0,0,0,0,0,0,0.005569393,0.105166367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113554,0.007110245,0,0,0,0,0,0,0,0,0,0,0.000870722,0.010734628,0,0.002154965,0,0,2.32491E-05,0,0,0,9.24694E-05,0.003418408,0,0,0,0.006426472,0.000205433,0.056174085,7.71097E-05,0,2.00443E-05,0.003435471,0,0,0,0.000799453,0,0,0,0,0,0
shkoporov_2019_subject_917,adult,shkoporov_2019,35509629520,23936071504,2.86813E+11,0,0.000588248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63972E-05,0,0.00151283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884447,0,0,0,0.000564441,0,0.012037233,0,0,0,0,0,0.002485398,0,0.022099835,0,0.001891005,0,0,0,0,0,0,0,0,0,0,0,0
shkoporov_2019_subject_918,adult,shkoporov_2019,17981011519,13333585655,3.34224E+11,0.090989161,0.050046648,0,0,0,0,0,0,0.008604886,0,0,0.006481295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000552589,0.003121863,0.003140746,0.010215082,0,0.003903548,0,0.001596723,0,0,0,0.003536057,0,0.001127989,0,0,0,0.009631251,0,0.031615836,0,0.003045616,0,0,0,0,0,0.000464436,0,0.003700223,0,0,0,0
shkoporov_2019_subject_919,adult,shkoporov_2019,10686437671,4719082353,3.83226E+11,7.52409E-05,0.002076667,8.40767E-06,0,0,0,0,0,0.000805447,0.020599812,0.000103176,0.005009574,0.000328713,0.005268879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001080254,0,0.004369141,0,0,0,0,2.57159E-05,0.004151534,2.07398E-05,0.002054704,0,0,0,0.003487694,0,0.00354609,1.43593E-05,0.003006813,0,0.001256202,0,0,3.87397E-05,0.004038424,0,0,0,0,0,0
shkoporov_2019_subject_920,adult,shkoporov_2019,3476491915,2978487689,6.12254E+11,7.88809E-06,0,0,0,1.42426E-05,0,0.003506665,0.044216275,0.000934942,0.000413664,0,0,0,0,0,0,0,0,0.001873066,0,0,0,0,0,0,0.000330375,0,0.000523798,0.006188052,0.009229232,0.000370749,0,0,0,0,0,0,0,0,0,0,0.024331755,0,0,0,0.003133605,0,0,0,0,0,0,0,0,0,0.002259448,0,0,0,0.000487178,0,0,0,0,0,0.03957262,0,0,0,0
shkoporov_2019_subject_921,adult,shkoporov_2019,4137274129,2166486429,5.82548E+11,0,0,0.005610389,0.056730221,0.005379386,0.038357825,9.63442E-05,0.00057775,4.02048E-05,0,0,0.004435178,0,0,0,0,0,0,0,0,0,0,1.5284E-06,0,0.000287444,0.000594208,0,0.003091126,0,0,0,0,0,0,0,0,0,5.42255E-05,0,0,3.83316E-05,0.003867725,0,0,5.25275E-06,0.000738267,0,0.003363145,9.0142E-05,0.001770659,0,0.000137815,0,0.000397559,0,0.00402336,0,0.004111618,0,0.001940346,0,0,0,0.000254423,0,0.014273612,0,0,0,0.000185911
shkoporov_2019_subject_922,adult,shkoporov_2019,1023699867,997823419.1,2.28214E+11,0,0,0,0,0,0,5.29389E-05,0,3.09963E-05,0,0.000123036,0.004334352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005239372,0,0,0,0,0,0,3.2967E-05,0,0,0.000634945,0,0,0,0.003712226,0,0,0,0,0,0.010267663,0,0.00144629,0,0,0,0.002006981,6.58225E-05,0.008730966,0,0.007045174,6.08048E-05,0.00487835,0,0,0.000129161,0.002366331,0,0.001557153,0,0,0,0
shkoporov_2019_subject_923,adult,shkoporov_2019,17723521948,11596349535,4.35232E+11,0.055182426,0,0,0,0,0,0,0,0.002596479,0,0,0.0021687,0,0,0.007784112,0.033465151,0.001357156,0,0,0,0,0,0,0,0.001848126,0.003518904,0,0.000875198,0,0,0.000192477,0,0,0,0,0.000325065,0.000619527,0.000370899,0.001296689,0.022763416,0.000125974,0.019858857,0,0,0,0.001351382,0,0.000765821,0,0.001302043,0.001747557,0,0,0.001188876,0,0.00515784,0,0.002482047,0,0.002422257,0,0,0,0.000980061,0,0.050137759,0,0,0,0
shkoporov_2019_subject_924,adult,shkoporov_2019,30628633332,36261407045,3.32431E+11,0.036378568,0,0,0.000528023,0,0,0,0.000569749,0.095615435,0.015282192,8.76993E-05,0.002240915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000627557,0,0,0,0,0,0,0.000189732,0.002149589,0.002449274,0,0.034872487,0,0,0,0.001800656,0,0.003850612,0,0.0017824,0,0,0,0.008398707,0,0.024826381,0,0.011370106,0,0.002146016,0,0,0,0.000783277,0,0.007292775,0,0,0,0
shkoporov_2019_subject_925,adult,shkoporov_2019,12539988496,10457520641,2.66022E+11,5.10418E-05,0,0,0.000446698,0,0.000116262,0,0,0,0,5.05784E-05,0.004582643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005134425,0.000214338,0,0,0,0,0,0,0,0,0.000203716,0,0.002407666,0,0.029498955,0,0,0,0.002194249,0,0.002022805,0.000657342,0.004052159,0,0,0,0.001305773,0,0.008688832,0,0.008512928,0,0.001332417,0,0,0,0.001208054,0,0,0,0,0,0
