lifestyle,votu,n_genomes
lytic,vOTU-000001,558
lytic,vOTU-000002,517
lytic,vOTU-000003,331
lytic,vOTU-000004,220
lytic,vOTU-000005,195
lytic,vOTU-000007,168
lytic,vOTU-000008,164
lytic,vOTU-000015,164
lytic,vOTU-000006,153
lytic,vOTU-000012,132
lytic,vOTU-000009,128
lytic,vOTU-000010,125
lytic,vOTU-000018,110
lytic,vOTU-000017,99
lytic,vOTU-000014,89
lytic,vOTU-000013,85
lytic,vOTU-000016,71
lytic,vOTU-000020,70
lytic,vOTU-000132,68
lytic,vOTU-000019,67
temperate,vOTU-000022,57
temperate,vOTU-000035,52
temperate,vOTU-000026,46
temperate,vOTU-000039,43
temperate,vOTU-003790,36
temperate,vOTU-000053,35
temperate,vOTU-000067,32
temperate,vOTU-000048,32
temperate,vOTU-000081,31
temperate,vOTU-000063,31
temperate,vOTU-000069,29
temperate,vOTU-000044,29
temperate,vOTU-000050,28
temperate,vOTU-000115,27
temperate,vOTU-000118,26
temperate,vOTU-000049,25
temperate,vOTU-000090,24
temperate,vOTU-000055,23
temperate,vOTU-000155,22
temperate,vOTU-000096,22
